,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,run1,run2,run3,run4,Total Runtime,strcol
1173,16,16,32,8,16,16,16,8,1,1,0,1,0,1,110.45,110.55,110.52,110.58,442.09999999999997,krqa
1192,16,16,32,16,8,8,8,2,1,1,1,0,0,0,140.64,141.24,141.46,141.16,564.5,anwm
1194,16,16,32,16,8,8,8,2,1,1,1,0,1,0,124.57,125.34,124.77,124.79,499.47,yaeb
1216,16,16,32,16,8,8,8,8,1,1,0,0,0,0,141.74,142.02,141.75,141.54,567.05,anem
1218,16,16,32,16,8,8,8,8,1,1,0,0,1,0,120.86,120.95,120.71,120.68,483.2,iaub
1252,16,16,32,16,8,8,16,2,1,1,0,1,0,0,145.64,145.39,145.65,145.23,581.91,abae
1262,16,16,32,16,8,8,16,2,1,1,1,1,1,0,127.79,128.12,127.55,127.44,510.90000000000003,uhak
1278,16,16,32,16,8,8,16,8,1,1,1,1,1,0,127.74,128.19,127.79,127.45,511.17,irau
1304,16,16,32,16,8,16,8,2,1,2,1,0,0,0,109.44,109.53,109.62,109.54,438.13000000000005,vuha
1316,16,16,32,16,8,16,8,8,1,1,0,1,0,0,144.46,144.77,144.42,144.76,578.41,agdm
1318,16,16,32,16,8,16,8,8,1,1,0,1,1,0,116.32,116.31,116.16,116.3,465.09,hxma
1320,16,16,32,16,8,16,8,8,1,1,1,0,0,0,141.42,141.89,141.9,142.29,567.4999999999999,onao
1332,16,16,32,16,8,16,8,8,1,2,0,1,0,0,111.54,111.6,111.59,111.61,446.34000000000003,arni
1374,16,16,32,16,8,16,16,8,1,1,1,1,1,0,116.31,116.06,116.13,116.12,464.62,hfaa
1378,16,16,32,16,16,8,8,2,1,1,0,0,1,0,129.38,129.55,129.26,129.4,517.59,abup
1380,16,16,32,16,16,8,8,2,1,1,0,1,0,0,165.36,164.93,165.21,165.08,660.58,axrl
1388,16,16,32,16,16,8,8,2,1,1,1,1,0,0,164.92,164.98,165.02,164.97,659.89,dday
1389,16,16,32,16,16,8,8,2,1,1,1,1,0,1,130.77,131.36,131.51,131.6,525.24,fpda
1396,16,16,32,16,16,8,8,8,1,1,0,1,0,0,168.15,168.22,168.41,168.39,673.17,pbao
1399,16,16,32,16,16,8,8,8,1,1,0,1,1,1,111.48,112.16,112.05,112.01,447.7,utau
1401,16,16,32,16,16,8,8,8,1,1,1,0,0,1,127.62,127.52,127.5,127.48,510.12,oaby
1406,16,16,32,16,16,8,8,8,1,1,1,1,1,0,131.08,131.59,131.1,131.13,524.9,ohas
1410,16,16,32,16,16,8,16,2,1,1,0,0,1,0,129.38,129.48,129.29,129.32,517.47,xzaz
1413,16,16,32,16,16,8,16,2,1,1,0,1,0,1,123.94,124.21,124.09,124.05,496.29,rash
1415,16,16,32,16,16,8,16,2,1,1,0,1,1,1,100.55,100.63,100.55,100.58,402.31,babe
1420,16,16,32,16,16,8,16,2,1,1,1,1,0,0,165.02,165.36,165.36,165.09,660.83,katy
1426,16,16,32,16,16,8,16,8,1,1,0,0,1,0,129.27,129.48,129.29,129.28,517.3199999999999,lmaw
1437,16,16,32,16,16,8,16,8,1,1,1,1,0,1,123.81,123.97,124.05,124.05,495.88,iema
1445,16,16,32,16,16,16,8,2,1,1,0,1,0,1,130.99,131.34,131.39,131.5,525.22,akdq
1446,16,16,32,16,16,16,8,2,1,1,0,1,1,0,121.76,121.82,121.62,121.62,486.82,vkqa
1452,16,16,32,16,16,16,8,2,1,1,1,1,0,0,164.87,164.83,165.27,165.22,660.19,vajj
1457,16,16,32,16,16,16,8,8,1,1,0,0,0,1,127.49,127.2,127.79,127.63,510.11,xyae
1461,16,16,32,16,16,16,8,8,1,1,0,1,0,1,131.0,131.45,131.4,131.47,525.32,jyae
1464,16,16,32,16,16,16,8,8,1,1,1,0,0,0,168.17,168.62,168.1,168.24,673.13,eama
1484,16,16,32,16,16,16,16,2,1,1,1,1,0,0,164.79,165.2,165.23,165.29,660.51,parx
1498,16,16,32,16,16,16,16,8,1,1,1,0,1,0,121.74,121.72,121.68,121.7,486.84,abfj
2208,16,32,16,8,16,8,16,2,1,1,0,0,0,0,118.06,113.05,118.39,121.14,470.64,swao
2408,16,32,16,8,16,16,8,2,1,1,1,0,0,0,114.04,113.81,113.86,113.73,455.44000000000005,awhp
2412,16,32,16,8,16,16,8,2,1,1,1,1,0,0,116.57,116.56,116.55,116.48,466.16,wyxa
2561,16,32,16,8,32,16,16,2,1,1,0,0,0,1,115.68,115.71,115.65,115.76,462.79999999999995,lsua
2565,16,32,16,8,32,16,16,2,1,1,0,1,0,1,110.49,110.58,110.41,110.41,441.89,msda
2613,16,32,16,8,32,16,32,8,1,1,0,1,0,1,106.82,106.52,106.83,106.77,426.93999999999994,hazp
2624,16,32,16,16,8,8,8,2,1,1,0,0,0,0,116.33,117.4,117.44,117.12,468.29,maek
2634,16,32,16,16,8,8,8,2,1,1,1,0,1,0,103.87,103.83,103.84,103.66,415.19999999999993,qnoa
2728,16,32,16,16,8,8,16,2,1,1,1,0,0,0,117.18,116.87,116.95,117.25,468.25,ixao
2734,16,32,16,16,8,8,16,2,1,1,1,1,1,0,107.18,107.05,107.24,107.27,428.74,tppa
2804,16,32,16,16,8,8,32,8,1,1,0,1,0,0,120.59,121.08,120.29,120.49,482.45000000000005,aiop
2812,16,32,16,16,8,8,32,8,1,1,1,1,0,0,120.79,121.16,120.66,120.65,483.26,tfxa
2926,16,32,16,16,8,16,16,2,1,1,1,1,1,0,102.44,102.39,102.42,102.57,409.82,qawv
2952,16,32,16,16,8,16,16,8,1,1,1,0,0,0,114.0,113.83,114.12,114.09,456.03999999999996,fqas
2988,16,32,16,16,8,16,32,2,1,1,1,1,0,0,119.18,119.05,118.75,119.22,476.20000000000005,pgam
2990,16,32,16,16,8,16,32,2,1,1,1,1,1,0,102.42,102.59,102.54,102.57,410.12,najd
2992,16,32,16,16,8,16,32,8,1,1,0,0,0,0,113.98,114.05,114.33,113.92,456.28000000000003,lvga
3010,16,32,16,16,16,16,16,2,1,1,0,0,1,0,103.42,103.16,103.25,103.16,412.99,datk
3090,16,32,16,16,16,16,32,8,1,1,0,0,1,0,103.15,103.28,103.1,103.06,412.59,efba
3944,16,32,32,8,16,8,32,2,1,1,1,0,0,0,112.85,112.83,112.71,112.96,451.34999999999997,vway
4164,16,32,32,8,32,8,8,2,1,1,0,1,0,0,123.0,124.03,123.21,123.65,493.89,nfza
4196,16,32,32,8,32,8,8,8,1,1,0,1,0,0,123.71,123.71,124.18,123.96,495.56,unua
4197,16,32,32,8,32,8,8,8,1,1,0,1,0,1,116.03,115.37,116.38,115.87,463.65,bawd
4217,16,32,32,8,32,8,8,8,2,1,1,0,0,1,103.25,103.23,103.29,103.7,413.47,kabt
4265,16,32,32,8,32,8,16,8,1,1,1,0,0,1,111.74,111.97,111.79,111.94,447.44,xuia
4328,16,32,32,8,32,8,32,8,1,1,1,0,0,0,128.29,127.97,127.98,127.58,511.82,uban
4329,16,32,32,8,32,8,32,8,1,1,1,0,0,1,107.24,107.3,106.91,107.18,428.63,aowj
4333,16,32,32,8,32,8,32,8,1,1,1,1,0,1,107.16,107.33,107.2,107.01,428.7,cats
4356,16,32,32,8,32,16,8,2,1,1,0,1,0,0,123.51,123.5,123.65,123.16,493.81999999999994,vads
4396,16,32,32,8,32,16,16,2,1,1,1,1,0,0,126.82,126.85,127.11,127.52,508.29999999999995,gzac
4397,16,32,32,8,32,16,16,2,1,1,1,1,0,1,110.51,110.25,110.24,110.5,441.5,ahai
4401,16,32,32,8,32,16,16,8,1,1,0,0,0,1,112.1,112.12,112.19,112.26,448.66999999999996,atrw
4413,16,32,32,8,32,16,16,8,1,1,1,1,0,1,110.27,110.09,110.48,110.41,441.25,xjam
4440,16,32,32,8,32,16,32,8,1,1,1,0,0,0,127.69,126.82,128.14,128.38,511.03,fyba
4472,16,32,32,16,8,8,8,2,1,2,1,0,0,0,101.97,102.02,102.18,102.14,408.31,janz
4556,16,32,32,16,8,8,16,2,1,1,1,1,0,0,117.62,118.23,117.79,117.65,471.2900000000001,gdau
4586,16,32,32,16,8,8,16,8,1,1,1,0,1,0,104.92,105.06,104.87,105.0,419.85,alcu
4620,16,32,32,16,8,8,32,2,1,1,1,1,0,0,117.59,117.61,117.77,117.63,470.59999999999997,dtha
4644,16,32,32,16,8,16,8,2,1,1,0,1,0,0,118.03,118.03,117.8,117.65,471.51,ahkx
4688,16,32,32,16,8,16,8,8,1,1,0,0,0,0,112.7,113.36,112.68,113.07,451.81,nmba
4740,16,32,32,16,8,16,16,2,1,1,0,1,0,0,117.65,118.12,117.94,117.77,471.48,jwah
4748,16,32,32,16,8,16,16,2,1,1,1,1,0,0,117.74,117.79,117.69,117.7,470.92,ekah
4750,16,32,32,16,8,16,16,2,1,1,1,1,1,0,101.44,101.37,101.57,101.49,405.87,uoza
4760,16,32,32,16,8,16,16,2,1,2,1,0,0,0,102.19,102.16,102.12,102.39,408.86,cfma
4800,16,32,32,16,8,16,32,2,1,1,0,0,0,0,116.2,116.24,116.68,116.33,465.45,nyka
4804,16,32,32,16,8,16,32,2,1,1,0,1,0,0,117.71,117.67,117.87,118.13,471.38,ytao
4870,16,32,32,16,16,8,8,8,1,1,0,1,1,0,106.96,106.79,106.75,106.94,427.44,ajil
4872,16,32,32,16,16,8,8,8,1,1,1,0,0,0,124.05,124.62,123.58,124.18,496.43,uaxk
4938,16,32,32,16,16,8,16,8,1,1,1,0,1,0,104.93,105.48,105.01,105.13,420.55,apdb
4940,16,32,32,16,16,8,16,8,1,1,1,1,0,0,127.04,126.8,127.35,126.87,508.06,ajpo
4966,16,32,32,16,16,8,32,2,1,1,0,1,1,0,106.9,106.86,106.8,106.9,427.46000000000004,xanr
4974,16,32,32,16,16,8,32,2,1,1,1,1,1,0,107.9,107.99,107.85,107.97,431.71000000000004,aexa
4978,16,32,32,16,16,8,32,8,1,1,0,0,1,0,104.5,104.79,104.44,104.73,418.46000000000004,dmha
4988,16,32,32,16,16,8,32,8,1,1,1,1,0,0,126.44,126.72,126.84,126.27,506.27,tuza
5026,16,32,32,16,16,16,8,8,1,1,0,0,1,0,100.62,100.88,100.86,100.74,403.1,ruah
5036,16,32,32,16,16,16,8,8,1,1,1,1,0,0,125.95,126.38,126.45,126.91,505.68999999999994,xsea
5058,16,32,32,16,16,16,16,2,1,1,0,0,1,0,100.59,100.52,100.79,100.64,402.54,qyxa
5090,16,32,32,16,16,16,16,8,1,1,0,0,1,0,100.41,100.74,100.55,100.68,402.38,xacd
5094,16,32,32,16,16,16,16,8,1,1,0,1,1,0,103.63,103.64,103.35,103.45,414.07,qtqa
5130,16,32,32,16,16,16,32,2,1,1,1,0,1,0,100.57,100.39,100.74,100.55,402.25,wyua
5134,16,32,32,16,16,16,32,2,1,1,1,1,1,0,103.61,103.57,103.58,103.67,414.43,djai
5140,16,32,32,16,16,16,32,8,1,1,0,1,0,0,126.41,126.64,126.98,127.39,507.42,vatd
5165,16,32,32,16,32,16,16,2,1,1,1,1,0,1,118.98,119.11,119.14,119.27,476.5,amst
5178,16,32,32,16,32,16,16,8,1,1,1,0,1,0,116.35,117.77,116.57,113.71,464.4,piak
5180,16,32,32,16,32,16,16,8,1,1,1,1,0,0,178.29,177.2,177.25,177.2,709.94,ulma
5186,16,32,32,16,32,16,32,2,1,1,0,0,1,0,115.93,114.74,115.3,117.65,463.62,atva
5188,16,32,32,16,32,16,32,2,1,1,0,1,0,0,174.91,174.27,174.31,174.35,697.84,gazh
5197,16,32,32,16,32,16,32,2,1,1,1,1,0,1,120.69,120.75,120.67,120.63,482.74,wgab
5198,16,32,32,16,32,16,32,2,1,1,1,1,1,0,117.94,117.5,115.4,114.45,465.29,hzad
5217,16,64,16,8,8,8,8,2,1,1,0,0,0,1,102.34,102.28,102.39,102.21,409.21999999999997,yxas
5353,16,64,16,8,8,8,8,8,1,1,1,0,0,1,101.21,95.35,95.33,101.31,393.2,wxad
5801,16,64,16,8,8,16,8,2,1,1,1,0,0,1,106.88,100.21,100.16,106.77,414.02,zsma
7052,16,64,16,16,8,8,8,8,1,1,1,1,0,0,106.47,107.09,107.05,106.59,427.20000000000005,aodh
7212,16,64,16,16,8,8,32,2,1,1,1,1,0,0,104.81,104.98,104.83,104.97,419.59000000000003,atxz
7404,16,64,16,16,8,16,16,2,1,1,1,1,0,0,104.9,104.97,104.74,104.81,419.42,aipi
7452,16,64,16,16,8,16,16,8,1,1,1,1,0,0,106.8,107.13,106.49,106.69,427.11,aurd
7492,16,64,16,16,8,16,32,2,1,1,0,1,0,0,104.65,104.51,104.77,104.85,418.78,jnma
7524,16,64,16,16,8,16,32,8,1,1,0,1,0,0,106.29,106.82,107.29,106.93,427.33000000000004,alqu
7556,16,64,16,16,16,16,16,2,1,1,0,1,0,0,106.0,105.89,105.66,106.27,423.81999999999994,kaoy
7652,16,64,16,16,16,16,32,2,1,1,0,1,0,0,106.09,105.97,106.36,105.69,424.11,xuoa
7684,16,64,16,16,16,16,32,8,1,1,0,1,0,0,108.17,108.25,107.6,108.61,432.63,amcv
7715,16,64,32,8,8,8,8,2,1,1,0,0,1,1,106.32,101.99,102.07,101.99,412.37,atae
7725,16,64,32,8,8,8,8,2,1,1,1,1,0,1,124.94,124.88,124.83,124.83,499.47999999999996,vayj
7769,16,64,32,8,8,8,8,2,1,8,1,0,0,1,114.53,114.45,114.47,114.5,457.95000000000005,rfza
7777,16,64,32,8,8,8,8,2,2,1,0,0,0,1,132.15,131.97,131.97,131.97,528.0600000000001,yuea
7845,16,64,32,8,8,8,8,8,1,1,0,1,0,1,112.5,112.41,112.48,112.42,449.81,nwoa
7909,16,64,32,8,8,8,8,8,2,1,0,1,0,1,113.87,113.81,113.82,113.81,455.31,aaxd
7913,16,64,32,8,8,8,8,8,2,1,1,0,0,1,126.72,126.8,126.71,126.67,506.9,fexa
8165,16,64,32,8,8,8,32,2,1,1,0,1,0,1,102.88,102.91,102.94,102.93,411.66,aton
8349,16,64,32,8,8,16,8,2,1,8,1,1,0,1,114.54,114.5,114.49,114.42,457.95000000000005,layl
8377,16,64,32,8,8,16,8,8,1,2,1,0,0,1,102.43,102.49,102.58,102.46,409.96,ubea
8429,16,64,32,8,8,16,16,2,1,1,1,1,0,1,139.46,136.17,136.15,136.17,547.9499999999999,ohua
8441,16,64,32,8,8,16,16,2,1,2,1,0,0,1,100.6,100.73,100.74,100.7,402.77,xavm
8445,16,64,32,8,8,16,16,2,1,2,1,1,0,1,109.75,109.75,109.81,109.81,439.12,atup
8517,16,64,32,8,8,16,32,2,1,1,0,1,0,1,102.87,102.92,102.92,102.93,411.64000000000004,nwah
8721,16,64,32,8,16,8,8,8,2,1,0,0,0,1,121.31,113.48,113.48,113.36,461.63000000000005,xaig
9353,16,64,32,8,32,8,8,2,1,1,1,0,0,1,115.68,115.77,115.76,115.95,463.15999999999997,vgya
9409,16,64,32,8,32,8,8,8,1,1,0,0,0,1,116.98,116.98,117.01,117.1,468.07000000000005,drfa
9411,16,64,32,8,32,8,8,8,1,1,0,0,1,1,107.65,107.62,107.58,107.56,430.41,ugay
9417,16,64,32,8,32,8,8,8,1,1,1,0,0,1,115.96,115.96,116.03,115.93,463.88,raau
9729,16,64,32,8,32,16,8,2,1,1,0,0,0,1,123.03,122.87,119.68,123.54,489.12000000000006,ramu
9763,16,64,32,8,32,16,8,8,1,1,0,0,1,1,105.55,105.42,105.52,105.5,421.99,bafv
9929,16,64,32,16,8,8,8,2,1,1,1,0,0,1,125.51,125.5,125.51,125.49,502.01,ynqa
9931,16,64,32,16,8,8,8,2,1,1,1,0,1,1,105.62,105.46,105.77,105.38,422.22999999999996,hahb
9993,16,64,32,16,8,8,8,8,1,1,1,0,0,1,119.72,119.67,119.84,119.78,479.01,jpah
10180,16,64,32,16,8,8,32,8,1,1,0,1,0,0,106.43,105.56,106.64,106.1,424.73,noah
10209,16,64,32,16,8,16,8,2,1,1,0,0,0,1,125.55,125.62,125.6,125.44,502.21,gfsa
10276,16,64,32,16,8,16,8,8,1,1,0,1,0,0,106.13,106.48,106.71,106.62,425.94,tsat
10281,16,64,32,16,8,16,8,8,1,1,1,0,0,1,119.76,119.81,119.75,119.72,479.03999999999996,sxao
10436,16,64,32,16,8,16,32,2,1,1,0,1,0,0,106.97,107.01,106.5,106.67,427.15000000000003,lvxa
10468,16,64,32,16,8,16,32,8,1,1,0,1,0,0,106.81,106.5,106.85,106.48,426.64,adua
10476,16,64,32,16,8,16,32,8,1,1,1,1,0,0,106.32,106.84,106.38,106.25,425.78999999999996,oeao
10496,16,64,32,16,16,8,8,2,1,1,0,0,0,0,114.76,114.83,114.9,114.96,459.45,wabb
10544,16,64,32,16,16,8,8,8,1,1,0,0,0,0,107.91,107.97,107.95,108.09,431.91999999999996,ugaj
10547,16,64,32,16,16,8,8,8,1,1,0,0,1,1,107.56,107.54,107.5,107.51,430.11,ayce
10648,16,64,32,16,16,8,16,8,1,1,1,0,0,0,108.22,107.94,108.26,107.75,432.17,abkh
10652,16,64,32,16,16,8,16,8,1,1,1,1,0,0,108.65,108.41,108.56,108.5,434.12,uoaf
10700,16,64,32,16,16,8,32,2,1,1,1,1,0,0,112.49,112.59,112.68,112.56,450.32,kmla
10811,16,64,32,16,16,16,8,8,1,1,1,0,1,1,105.45,105.39,105.34,105.51,421.69,ajze
10900,16,64,32,16,16,16,16,8,1,1,0,1,0,0,108.51,108.76,110.12,108.73,436.12,vcaj
10948,16,64,32,16,16,16,32,2,1,1,0,1,0,0,112.56,112.5,112.34,112.39,449.78999999999996,bamj
10984,16,64,32,16,16,16,32,8,1,1,1,0,0,0,107.69,108.2,108.05,108.03,431.97,gcla
11016,16,64,32,16,32,16,16,2,1,1,1,0,0,0,121.71,121.7,121.98,121.84,487.23,csla
11018,16,64,32,16,32,16,16,2,1,1,1,0,1,0,104.69,105.0,104.36,104.5,418.55,ivat
11020,16,64,32,16,32,16,16,2,1,1,1,1,0,0,127.95,127.73,127.88,127.86,511.42,wrja
11041,16,64,32,16,32,16,16,8,1,1,0,0,0,1,108.93,109.13,109.12,109.17,436.35,xdap
11078,16,64,32,16,32,16,32,2,1,1,0,1,1,0,110.42,110.54,110.37,110.37,441.70000000000005,qvav
11114,16,64,32,16,32,16,32,8,1,1,1,0,1,0,105.34,104.57,104.76,104.16,418.83000000000004,qapa
11116,16,64,32,16,32,16,32,8,1,1,1,1,0,0,127.03,127.1,127.1,127.33,508.56,oajz
11118,16,64,32,16,32,16,32,8,1,1,1,1,1,0,110.43,110.58,110.36,110.38,441.75,brva
11147,16,128,16,8,8,8,8,2,1,1,1,0,1,1,111.39,110.96,110.94,111.38,444.66999999999996,gdap
11265,16,128,16,8,8,8,8,8,1,1,0,0,0,1,124.81,124.5,124.8,124.05,498.16,aqsb
11267,16,128,16,8,8,8,8,8,1,1,0,0,1,1,108.01,107.55,107.55,107.56,430.67,avhg
11275,16,128,16,8,8,8,8,8,1,1,1,0,1,1,110.01,110.15,109.98,110.36,440.50000000000006,akij
11907,16,128,16,8,8,16,8,8,1,1,0,0,1,1,109.71,109.98,110.04,109.96,439.69,erqa
11969,16,128,16,8,8,16,16,2,1,1,0,0,0,1,112.2,112.19,112.06,112.23,448.68,akvy
12041,16,128,16,8,8,16,16,8,1,1,1,0,0,1,104.26,111.61,104.35,108.97,429.19000000000005,paup
12329,16,128,16,8,16,8,8,8,1,1,1,0,0,1,102.53,110.04,102.64,102.44,417.65,raok
12449,16,128,16,8,16,8,16,2,1,1,0,0,0,1,125.9,118.33,124.58,117.06,485.87,aiuo
12649,16,128,16,8,16,8,16,8,2,1,1,0,0,1,107.24,100.11,100.01,107.19,414.55,wnka
12963,16,128,16,8,16,16,8,8,1,1,0,0,1,1,102.0,94.7,94.74,94.63,386.07,ghai
12969,16,128,16,8,16,16,8,8,1,1,1,0,0,1,104.83,102.41,102.5,102.59,412.33000000000004,anri
13441,16,128,16,16,8,8,8,2,1,1,0,0,0,1,109.17,106.49,106.44,106.55,428.65000000000003,back
13505,16,128,16,16,8,8,8,8,1,1,0,0,0,1,106.61,106.35,114.3,106.38,433.64,jeaq
13513,16,128,16,16,8,8,8,8,1,1,1,0,0,1,106.41,106.56,108.68,106.39,428.03999999999996,axct
13929,16,128,16,16,8,16,16,2,1,1,1,0,0,1,117.47,117.7,117.5,117.76,470.43,cafu
14369,16,128,32,8,8,8,8,2,1,1,0,0,0,1,255.43,257.24,268.07,255.99,1036.73,aday
14371,16,128,32,8,8,8,8,2,1,1,0,0,1,1,200.42,200.47,200.44,200.44,801.77,yfga
14393,16,128,32,8,8,8,8,2,1,2,1,0,0,1,235.4,235.41,235.41,235.38,941.6,iajr
14409,16,128,32,8,8,8,8,2,1,4,1,0,0,1,190.62,191.36,190.6,191.1,763.6800000000001,hola
14439,16,128,32,8,8,8,8,2,2,1,0,1,1,1,159.56,159.39,159.45,159.42,637.8199999999999,jabx
14453,16,128,32,8,8,8,8,2,2,2,0,1,0,1,154.13,154.07,154.11,154.11,616.4200000000001,ifwa
14477,16,128,32,8,8,8,8,2,2,4,1,1,0,1,125.19,125.18,125.24,125.24,500.85,abto
14489,16,128,32,8,8,8,8,2,2,8,1,0,0,1,174.81,174.83,174.85,174.84,699.33,cbaf
14493,16,128,32,8,8,8,8,2,2,8,1,1,0,1,152.59,152.61,152.6,152.61,610.4100000000001,fjma
14511,16,128,32,8,8,8,8,8,1,1,1,1,1,1,156.05,156.04,155.99,155.96,624.0400000000001,gavh
14513,16,128,32,8,8,8,8,8,1,2,0,0,0,1,183.89,183.83,183.86,183.88,735.46,raww
